driverId,driverRef,number,code,forename,surname,dob,nationality,url
1,"hamilton",44,"HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
2,"heidfeld",\N,"HEI","Nick","Heidfeld","1977-05-10","German","http://en.wikipedia.org/wiki/Nick_Heidfeld"
3,"rosberg",6,"ROS","Nico","Rosberg","1985-06-27","German","http://en.wikipedia.org/wiki/Nico_Rosberg"
4,"alonso",14,"ALO","Fernando","Alonso","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso"
5,"kovalainen",\N,"KOV","Heikki","Kovalainen","1981-10-19","Finnish","http://en.wikipedia.org/wiki/Heikki_Kovalainen"
6,"nakajima",\N,"NAK","Kazuki","Nakajima","1985-01-11","Japanese","http://en.wikipedia.org/wiki/Kazuki_Nakajima"
7,"bourdais",\N,"BOU","Sébastien","Bourdais","1979-02-28","French","http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais"
8,"raikkonen",7,"RAI","Kimi","Räikkönen","1979-10-17","Finnish","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen"
9,"kubica",88,"KUB","Robert","Kubica","1984-12-07","Polish","http://en.wikipedia.org/wiki/Robert_Kubica"
10,"glock",\N,"GLO","Timo","Glock","1982-03-18","German","http://en.wikipedia.org/wiki/Timo_Glock"
11,"sato",\N,"SAT","Takuma","Sato","1977-01-28","Japanese","http://en.wikipedia.org/wiki/Takuma_Sato"
12,"piquet_jr",\N,"PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian","http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,"massa",19,"MAS","Felipe","Massa","1981-04-25","Brazilian","http://en.wikipedia.org/wiki/Felipe_Massa"
14,"coulthard",\N,"COU","David","Coulthard","1971-03-27","British","http://en.wikipedia.org/wiki/David_Coulthard"
15,"trulli",\N,"TRU","Jarno","Trulli","1974-07-13","Italian","http://en.wikipedia.org/wiki/Jarno_Trulli"
16,"sutil",99,"SUT","Adrian","Sutil","1983-01-11","German","http://en.wikipedia.org/wiki/Adrian_Sutil"
17,"webber",\N,"WEB","Mark","Webber","1976-08-27","Australian","http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)"
18,"button",22,"BUT","Jenson","Button","1980-01-19","British","http://en.wikipedia.org/wiki/Jenson_Button"
19,"davidson",\N,"DAV","Anthony","Davidson","1979-04-18","British","http://en.wikipedia.org/wiki/Anthony_Davidson"
20,"vettel",5,"VET","Sebastian","Vettel","1987-07-03","German","http://en.wikipedia.org/wiki/Sebastian_Vettel"
21,"fisichella",\N,"FIS","Giancarlo","Fisichella","1973-01-14","Italian","http://en.wikipedia.org/wiki/Giancarlo_Fisichella"
22,"barrichello",\N,"BAR","Rubens","Barrichello","1972-05-23","Brazilian","http://en.wikipedia.org/wiki/Rubens_Barrichello"
23,"martin",\N,"MAR","Mark","Martin","1980-05-15","American","http://en.wikipedia.org/wiki/Mark_Martin"
