raceId,driverId,lap,position,time,milliseconds
18,1,1,1,"2:01.465",121465
18,1,15,1,"1:27.750",87750
18,1,39,1,"1:27.452",87452
18,1,58,1,"1:29.625",89625
18,5,1,3,"2:03.824",123824
18,5,15,3,"1:28.744",88744
18,5,20,1,"1:27.725",87725
18,5,43,1,"1:27.418",87418
18,5,58,5,"1:29.236",89236
18,8,1,8,"2:09.474",129474
18,8,20,5,"1:27.903",87903
18,8,40,11,"1:28.760",88760
18,8,53,7,"1:34.488",94488
19,1,35,1,"1:34.223",94223
19,5,35,2,"1:33.875",93875
19,8,35,3,"1:34.156",94156
19,4,35,4,"1:33.692",93692
